id,pokedex_version_id,game_name,flavor_text
326,7,Ruby,GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe.When this Pokemon uses its special power its snorting breath grows labored.
326,8,Sapphire,GRUMPIG uses the black pearls on its body to wield its fantastic powers. When it is doing so it dances bizarrely.This Pokemon's black pearls are valuable as works of art.
326,9,Emerald,It stores power in the black pearls on its forehead. When it uses psychic power it performs an odd dance step. Its style of dancing became hugely popular overseas.
326,10,FireRed,It can gain control over foes by doing odd dance steps. The black pearls on its forehead are precious gems.
326,11,LeafGreen,It can gain control over foes by doing odd dance steps. The black pearls on its forehead are precious gems.
326,12,Diamond,It uses black pearls to amplify its psycho-power. It does an odd dance to gain control over foes.
326,13,Pearl,It uses black pearls to amplify its psycho-power. It does an odd dance to gain control over foes.
326,14,Platinum,It uses black pearls to amplify its psycho-power. It does an odd dance to gain control over foes.
326,15,HeartGold,It can perform odd dance steps to influence foes. Its style of dancing became hugely popular overseas.
326,16,SoulSilver,It can perform odd dance steps to influence foes. Its style of dancing became hugely popular overseas.
326,17,Black,It uses black pearls to amplify its psycho-power. It does an odd dance to gain control over foes.
326,18,White,It uses black pearls to amplify its psycho-power. It does an odd dance to gain control over foes.
326,21,Black 2,It uses black pearls to amplify its psychic power. It does a strange dance to control foes' minds.
326,22,White 2,It uses black pearls to amplify its psychic power. It does a strange dance to control foes' minds.
326,23,X,It uses black pearls to amplify its psychic power. It does a strange dance to control foes' minds.
326,24,Y,It uses black pearls to amplify its psychic power. It does an odd dance to gain control over foes.
326,25,Omega Ruby,Grumpig uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this Pokemon uses its special power its snorting breath grows labored.
326,26,Alpha Sapphire,Grumpig uses the black pearls on its body to wield its fantastic powers. When it is doing so it dances bizarrely. This Pokemon's black pearls are valuable as works of art.
